国家,中餐馆数量,X_COORD,Y_COORD
美国,49975,-77.0364,38.89517
日本,26344,139.809189,35.683056
印度,20860,77.216751,28.568726
印度尼西亚,18107,106.762467,-6.293904
英国,11292,-0.128014,51.508158
马来西亚,7713,101.707672,3.15021
澳大利亚,7085,149.12439,-35.320862
加拿大,6033,-75.697403,45.395096
意大利,3337,12.487712,41.902264
韩国,3019,126.977961,37.566589
法国,2944,2.35839,48.860324
德国,2940,13.387741,52.505379
巴西,2935,-47.929214,-15.780102
西班牙,2926,-3.696312,40.428955
菲律宾,2656,120.985535,14.632355
泰国,1978,100.552666,13.745571
新加坡,1803,103.821319,1.304812
墨西哥,1690,-99.134087,19.406433
荷兰,1645,4.868457,52.366066
俄罗斯,1546,37.676598,55.782085
